web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,25/11/2023,01/12/2023,2900,2900,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,47,50,Les 2 Alpes
,09/10/2023,17/02/2024,23/02/2024,9450,9450,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,7,50,Les 2 Alpes
,09/10/2023,24/02/2024,01/03/2024,9450,9450,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,8,50,Les 2 Alpes
,09/10/2023,06/04/2024,12/04/2024,4080,4080,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,14,50,Les 2 Alpes
,09/10/2023,13/04/2024,19/04/2024,4080,4080,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,15,50,Les 2 Alpes
,09/10/2023,20/04/2024,26/04/2024,3000,3000,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,16,50,Les 2 Alpes
,09/10/2023,27/04/2024,03/05/2024,2990,2990,Chalet 12 Personnes,40839,Chalet Odalys Leslie Alpen,Les 2 Alpes,,17,50,Les 2 Alpes
,09/10/2023,04/11/2023,10/11/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,44,155,Morillon
,09/10/2023,11/11/2023,17/11/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,45,155,Morillon
,09/10/2023,18/11/2023,24/11/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,46,155,Morillon
,09/10/2023,25/11/2023,01/12/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,47,155,Morillon
,09/10/2023,02/12/2023,08/12/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,48,155,Morillon
,09/10/2023,09/12/2023,15/12/2023,813,813,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,49,155,Morillon
,09/10/2023,16/12/2023,22/12/2023,2082,2082,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,50,155,Morillon
,09/10/2023,06/01/2024,12/01/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,1,155,Morillon
,09/10/2023,13/01/2024,19/01/2024,1876,1782,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,2,155,Morillon
,09/10/2023,09/03/2024,15/03/2024,2082,2082,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,10,155,Morillon
,09/10/2023,23/03/2024,29/03/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,12,155,Morillon
,09/10/2023,30/03/2024,05/04/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,13,155,Morillon
,09/10/2023,06/04/2024,12/04/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,14,155,Morillon
,09/10/2023,13/04/2024,19/04/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,15,155,Morillon
,09/10/2023,20/04/2024,26/04/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,16,155,Morillon
,09/10/2023,27/04/2024,03/05/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,17,155,Morillon
,09/10/2023,04/05/2024,10/05/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,18,155,Morillon
,09/10/2023,11/05/2024,17/05/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,19,155,Morillon
,09/10/2023,18/05/2024,24/05/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,20,155,Morillon
,09/10/2023,25/05/2024,31/05/2024,1876,1876,5 Pièces pour 10 Personnes,739394,Résidence Refuge De L'alpage Bat D,Morillon,,21,155,Morillon
,09/10/2023,14/10/2023,20/10/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,41,321,Arêches Beaufort
,09/10/2023,21/10/2023,27/10/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,42,321,Arêches Beaufort
,09/10/2023,28/10/2023,03/11/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,43,321,Arêches Beaufort
,09/10/2023,18/11/2023,24/11/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,46,321,Arêches Beaufort
,09/10/2023,25/11/2023,01/12/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,47,321,Arêches Beaufort
,09/10/2023,02/12/2023,08/12/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,48,321,Arêches Beaufort
,09/10/2023,09/12/2023,15/12/2023,418,418,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,49,321,Arêches Beaufort
,09/10/2023,16/12/2023,22/12/2023,588,588,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,50,321,Arêches Beaufort
,09/10/2023,23/12/2023,29/12/2023,588,588,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,51,321,Arêches Beaufort
,09/10/2023,30/12/2023,05/01/2024,769,769,2 Pièces pour 4 Personnes,524654,Résidence Val Blanc 2,Arêches Beaufort,,52,321,Arêches Beaufort
