web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,22/09/2024,29/09/2024,200,200,TENTE TOILE ET BOIS 4 personnes - COCO SWEET,,Camping La Kilienne,2 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,22/09/2024,29/09/2024,370,370,MOBILHOME 6 personnes - FR,,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,22/09/2024,29/09/2024,380,380,MOBILHOME 6 personnes - 3 chambres  32m²,,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,22/09/2024,29/09/2024,400,400,MOBILHOME 6 personnes - 3 chambres - 40 m²,,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,04/11/2023,11/11/2023,468,468,MOBILHOME 2 personnes - 2 places Confort,,Camping Pascalounet,2 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,475,475,MOBILHOME 4 personnes - 4 Places Standard accès PMR,,Camping Pascalounet,4 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,475,475,MOBILHOME 4 personnes - 4 places Standard,,Camping Pascalounet,4 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,492,492,MOBILHOME 2 personnes - 2 places Confort Plus,,Camping Pascalounet,2 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,503,503,MOBILHOME 5 personnes - 5 places Standard,,Camping Pascalounet,5 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,508,508,MOBILHOME 4 personnes - 4 places Confort,,Camping Pascalounet,4 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,563,563,MOBILHOME 5 personnes - 5 places Confort,,Camping Pascalounet,5 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,614,614,MOBILHOME 4 personnes -  4 places confort Plus,,Camping Pascalounet,4 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,664,664,MOBILHOME 6 personnes - 6 places confort Plus,,Camping Pascalounet,6 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,729,729,MOBILHOME 6 personnes - 6 places Premium,,Camping Pascalounet,6 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,04/11/2023,11/11/2023,804,804,MOBILHOME 6 personnes - 6 places Premium Plus,,Camping Pascalounet,6 Adultes, 13500 MARTIGUES,,44,camping-pascalounet-77771,
,09/10/2023,02/06/2024,09/06/2024,420,360,MOBILHOME 5 personnes - CONFORT PLUS D,,Camping Le Mas des Lavandes,5 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,420,360,MOBILHOME 5 personnes - CONFORT PLUS S,,Camping Le Mas des Lavandes,5 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,455,390,MOBILHOME 6 personnes - CONFORT PLUS D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,455,390,MOBILHOME 6 personnes - CONFORT PLUS S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,490,420,MOBILHOME 6 personnes - PREMIUM D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,490,420,MOBILHOME 6 personnes - PREMIUM S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,560,480,MOBILHOME 6 personnes - PREMIUM D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,560,480,MOBILHOME 6 personnes - PREMIUM S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,595,510,MOBILHOME 4 personnes - PRESTIGE S,,Camping Le Mas des Lavandes,4 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,595,510,MOBILHOME 4 personnes - PRESTIGE D,,Camping Le Mas des Lavandes,4 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,700,600,MOBILHOME 6 personnes - PRESTIGE S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,02/06/2024,09/06/2024,700,600,MOBILHOME 6 personnes - PRESTIGE D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,22,camping-le-mas-des-lavandes-76672,
,09/10/2023,22/06/2024,29/06/2024,821.59,575.11,MOBILHOME 4 personnes - 3 Pièces 4 Personnes Climatisé + TV,,Camping maeva Escapades Le Colomba,4 Adultes, 20113 OLMETO,,25,camping-maeva-escapades-le-colomba-77901,
,09/10/2023,22/06/2024,29/06/2024,833.69,583.58,MOBILHOME 4 personnes - 3 Pièces 4 Personnes Climatisé,,Camping maeva Escapades Le Colomba,4 Adultes, 20113 OLMETO,,25,camping-maeva-escapades-le-colomba-77901,
,09/10/2023,22/06/2024,29/06/2024,869.99,608.99,MOBILHOME 6 personnes - 4 Pièces 6 Personnes Climatisé,,Camping maeva Escapades Le Colomba,6 Adultes, 20113 OLMETO,,25,camping-maeva-escapades-le-colomba-77901,
,09/10/2023,22/06/2024,29/06/2024,1402.39,981.67,CHALET 6 personnes - Prestige 4 pièces 6 Personnes Climatisé + TV,,Camping maeva Escapades Le Colomba,6 Adultes, 20113 OLMETO,,25,camping-maeva-escapades-le-colomba-77901,
,09/10/2023,01/09/2024,08/09/2024,532,532,MOBILHOME 4 personnes - Pêcher,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,560,560,MOBILHOME 4 personnes - Cerisier,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,567,567,MOBILHOME 4 personnes - accessible aux personnes handicapées Marronnier,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,595,595,MOBILHOME 6 personnes - Acacia,,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,602,602,MOBILHOME 4 personnes - Pommier,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,637,637,MOBILHOME 4 personnes - Pommier avec vue sur la rivière,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,651,651,MOBILHOME 4 personnes - Magnolia,,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,686,686,MOBILHOME 6 personnes - Olivier,,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,728,728,MOBILHOME 6 personnes - Vigne,,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,01/09/2024,08/09/2024,763,763,MOBILHOME 6 personnes - Passiflore,,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,35,camping-rcn-la-bastide-en-ardeche-78463,
,09/10/2023,21/09/2024,28/09/2024,189,189,CHALET 4 personnes - NATURE (Sans sanitaires),,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,38,camping-mas-llinas-77558,
,09/10/2023,21/09/2024,28/09/2024,270,270,MOBILHOME 2 personnes - Cahita 1 chambre climatisée,,Camping Mas Llinas,2 Adultes, 66160 LE BOULOU,,38,camping-mas-llinas-77558,
,09/10/2023,21/09/2024,28/09/2024,320,320,MOBILHOME 4 personnes - TRIGANO EVO 29 TI,,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,38,camping-mas-llinas-77558,
,09/10/2023,21/09/2024,28/09/2024,350,350,MOBILHOME 2 personnes - Trigano 20m²,,Camping Mas Llinas,2 Adultes, 66160 LE BOULOU,,38,camping-mas-llinas-77558,
,09/10/2023,22/06/2024,29/06/2024,296.10,296.10,BUNGALOW 5 personnes - Cottage toilé 21 m² / 2 chambres - terrasse couverte (sans sanitaires privatifs),,Camping La Grappe Fleurie,5 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,22/06/2024,29/06/2024,497.70,497.70,MOBILHOME 4 personnes - Cottage Loggia 30m² / 2 chambres - terrasse couverte,,Camping La Grappe Fleurie,4 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,22/06/2024,29/06/2024,567,567,MOBILHOME 6 personnes - Cottage Loft 32m² / 3 chambres - terrasse couverte,,Camping La Grappe Fleurie,6 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,22/06/2024,29/06/2024,913.50,913.50,MOBILHOME 4 personnes - Cottage Loggia Premium,,Camping La Grappe Fleurie,4 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
