web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,28/10/2023,04/11/2023,126,126,EMPLACEMENT,,Camping Le Brabois,, 54600 VILLERS LES NANCY,,43,camping-le-brabois-85195,
,09/10/2023,28/10/2023,04/11/2023,151,151,MOBILHOME 4 personnes - Confort 2 chambres 4,,Camping Le Brabois,2 Adultes, 54600 VILLERS LES NANCY,,43,camping-le-brabois-85195,
,09/10/2023,28/10/2023,04/11/2023,151,151,TENTE TOILE ET BOIS 4 personnes - Lodge Maassai Premium - 2 chambres 4,,Camping Le Brabois,2 Adultes, 54600 VILLERS LES NANCY,,43,camping-le-brabois-85195,
,09/10/2023,25/11/2023,02/12/2023,420,420,MOBILHOME 4 personnes - COSY arrivée dimanche,,Naturéo Resort,4 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,420,420,MOBILHOME 4 personnes - COSY,,Naturéo Resort,4 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,420,420,MOBILHOME 4 personnes - MH COSY 2ch 4p,,Naturéo Resort,4 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,490,490,MOBILHOME 6 personnes - COSY 3 ch arrivée dimanche,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,490,490,MOBILHOME 6 personnes - COSY 3ch,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,490,490,MOBILHOME 6 personnes - MH COSY 3ch 6p,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,525,525,CHALET 5 personnes - CABANE BALI,,Naturéo Resort,5 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,525,525,CHALET 5 personnes - CABANE BALI,,Naturéo Resort,5 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,525,525,CHALET 4 personnes - CAB. BALI  2ch,,Naturéo Resort,4 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,560,560,CHALET 4 personnes - COT. PREMIUM 2ch 4p,,Naturéo Resort,4 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,630,630,BUNGALOW 6 personnes - BUNGALOW COTTAGE PREMIUM 6p,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,630,630,BUNGALOW 6 personnes - COTTAGE PREMIUM 3 ch,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,630,630,CHALET 6 personnes - COTTAGE PREMIUM 3ch 6p,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,700,700,BUNGALOW 6 personnes - NATUREO,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,700,700,BUNGALOW 6 personnes - NATUREO,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
,09/10/2023,25/11/2023,02/12/2023,700,700,CHALET 6 personnes - CAB. NATUREO 3ch 6p,,Naturéo Resort,6 Adultes, 40510 SEIGNOSSE,,47,natureo-resort-78510,
