web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,14/10/2023,20/10/2023,1062,1062,Maisons & Villas pour 8 Personnes,595374,Résidence Les Reales,Saint Cyprien - Pyrénées Orientales,,41,137,Saint Cyprien - Pyrénées Orientales
,09/10/2023,21/10/2023,27/10/2023,897,897,Maisons & Villas pour 8 Personnes,595374,Résidence Les Reales,Saint Cyprien - Pyrénées Orientales,,42,137,Saint Cyprien - Pyrénées Orientales
,09/10/2023,28/10/2023,03/11/2023,897,897,Maisons & Villas pour 8 Personnes,595374,Résidence Les Reales,Saint Cyprien - Pyrénées Orientales,,43,137,Saint Cyprien - Pyrénées Orientales
,09/10/2023,25/11/2023,01/12/2023,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,47,582,Tignes - Les Brévières
,09/10/2023,02/12/2023,08/12/2023,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,48,582,Tignes - Les Brévières
,09/10/2023,09/12/2023,15/12/2023,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,49,582,Tignes - Les Brévières
,09/10/2023,16/12/2023,22/12/2023,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,50,582,Tignes - Les Brévières
,09/10/2023,20/01/2024,26/01/2024,15874,15874,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,3,582,Tignes - Les Brévières
,09/10/2023,27/01/2024,02/02/2024,15874,15874,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,4,582,Tignes - Les Brévières
,09/10/2023,24/02/2024,01/03/2024,21800,21800,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,8,582,Tignes - Les Brévières
,09/10/2023,16/03/2024,22/03/2024,15874,15874,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,11,582,Tignes - Les Brévières
,09/10/2023,23/03/2024,29/03/2024,16496,16496,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,12,582,Tignes - Les Brévières
,09/10/2023,30/03/2024,05/04/2024,16496,16496,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,13,582,Tignes - Les Brévières
,09/10/2023,06/04/2024,12/04/2024,15874,15874,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,14,582,Tignes - Les Brévières
,09/10/2023,13/04/2024,19/04/2024,14564,14564,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,15,582,Tignes - Les Brévières
,09/10/2023,20/04/2024,26/04/2024,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,16,582,Tignes - Les Brévières
,09/10/2023,27/04/2024,03/05/2024,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,17,582,Tignes - Les Brévières
,09/10/2023,04/05/2024,10/05/2024,12320,12320,Chalets pour 18 Personnes,735734,Résidence Casa San Bernardo,Tignes - Les Brévières,,18,582,Tignes - Les Brévières
,09/10/2023,14/10/2023,20/10/2023,699,699,Chalets pour 6 Personnes,679404,Résidence RÉsidence Les Hauts De La Lauziere,La Joue du Loup,,41,40,La Joue du Loup
,09/10/2023,14/10/2023,20/10/2023,699,699,Chalets pour 6 Personnes,878614,Résidence RÉsidence Les Hauts De La Lauziere,La Joue du Loup,,41,40,La Joue du Loup
,09/10/2023,14/10/2023,20/10/2023,699,699,Chalets pour 6 Personnes,753754,Résidence RÉsidence Les Hauts De La Lauziere,La Joue du Loup,,41,40,La Joue du Loup
,09/10/2023,21/10/2023,27/10/2023,509,509,Chalets pour 6 Personnes,679404,Résidence RÉsidence Les Hauts De La Lauziere,La Joue du Loup,,42,40,La Joue du Loup
,09/10/2023,21/10/2023,27/10/2023,509,509,Chalets pour 6 Personnes,878614,Résidence RÉsidence Les Hauts De La Lauziere,La Joue du Loup,,42,40,La Joue du Loup
